animal,injuries,lat,lon
Killer whale 129, 01 - Visible blood flow, 126.914, 59.34
Bottlenose dolphin, 11- Ingestion of gear, -3.055, 30.749
Unidentified toothed whale, 12- Released trailing gear/gear perforating body, -60.033, -37.533
False killer whale 127, 04- Asymmetry in shape of body or body position, -147.53, 82.124
False killer whale 127, 06- Laceration (deep cut), -147.733, 84.52
Unidentified baleen whale 204, 06- Laceration (deep cut), 77.639, -58.392
Beaked whale 131, 01 - Visible blood flow, 73.478, 13.979
False killer whale 127, 10- Equilibrium imbalance, -18.031, -40.418
Bryde’s whale 132, 13- Other wound or injury, 164.461, -23.941
Spinner dolphin, 03- Inability to use appendage(s), 155.353, 62.998
False killer whale 127, 13- Other wound or injury, 13.818, -25.854
Sperm `whale 121, 13- Other wound or injury, -104.656, 63.14
Steller (northern) sea lion, 10- Equilibrium imbalance, -93.058, -78.035
Beluga whale 124, 01 - Visible blood flow, -43.214, 4.193
Sperm `whale 121, 03- Inability to use appendage(s), 173.033, 89.484
Grampus (Risso’s) dolphin, 06- Laceration (deep cut), -17.214, 47.03
Pacific white-sided dolphin, 14- Killed, -162.735, 69.79
Dall’s porpoise, 03- Inability to use appendage(s), 25.446, -60.122
Dall’s porpoise, 06- Laceration (deep cut), -126.049, -21.911
False killer whale 127, 04- Asymmetry in shape of body or body position, -88.689, 23.472
Fin whale 115, 07- Rupture or puncture of eyeball, -175.851, -14.564
Pacific white-sided dolphin, 06- Laceration (deep cut), -68.663, -41.699
Pacific white-sided dolphin, 12- Released trailing gear/gear perforating body, 174.909, -89.716
Minke whale 116, 07- Rupture or puncture of eyeball, -133.083, -84.532
Common dolphin, 12- Released trailing gear/gear perforating body, 31.573, -81.674
Atlantic white-sided dolphin, 09- Inability to swim or dive, 130.476, -0.504
Unidentified baleen whale 204, 10- Equilibrium imbalance, -91.171, -55.469
Sperm `whale 121, 03- Inability to use appendage(s), -172.032, 40.987
Northern right whale dolphin, 12- Released trailing gear/gear perforating body, -30.987, -77.073
Bottlenose dolphin, 06- Laceration (deep cut), -105.539, -80.452
Killer whale 129, 11- Ingestion of gear, -30.162, -43.189
Common dolphin, 05- Any noticeable swelling or hemorrhage (bruising), 68.079, -42.961
Striped dolphin, 14- Killed, 129.122, -34.249
Pacific white-sided dolphin, 09- Inability to swim or dive, 102.84, -39.876
Killer whale 129, 07- Rupture or puncture of eyeball, -138.596, 24.519
Harbor porpoise, 06- Laceration (deep cut), -21.043, 75.242
Unidentified baleen whale 204, 07- Rupture or puncture of eyeball, -129.02, 43.01
Northern right whale dolphin, 02- Loss of/damage to appendage/jaw, -42.487, 61.807
Unidentified baleen whale 204, 02- Loss of/damage to appendage/jaw, -61.209, 43.722
Unidentified baleen whale 204, 12- Released trailing gear/gear perforating body, 144.535, 46.6
Bottlenose dolphin, 11- Ingestion of gear, 109.275, 24.971
Unidentified toothed whale, 14- Killed, -89.041, -71.804
Sperm `whale 121, 03- Inability to use appendage(s), 7.265, 20.044
Minke whale 116, 14- Killed, -174.505, -72.797
Fin whale 115, 01 - Visible blood flow, -78.503, -79.965
Sperm `whale 121, 01 - Visible blood flow, -118.403, 73.407
Bryde’s whale 132, 06- Laceration (deep cut), 73.768, 31.879
North Atlantic right whale 101, 11- Ingestion of gear, 54.033, 50.751
Killer whale 129, 02- Loss of/damage to appendage/jaw, 164.24, -19.451
Steller (northern) sea lion, 04- Asymmetry in shape of body or body position, -90.744, -70.126
Dwarf sperm whale 203, 10- Equilibrium imbalance, 155.568, -33.03
Pilot whale 130, 01 - Visible blood flow, 95.675, -65.388
North Atlantic right whale 101, 06- Laceration (deep cut), 4.995, -86.753
Fin whale 115, 14- Killed, -114.762, -74.444
Beaked whale 131, 13- Other wound or injury, -131.386, 71.751
Spinner dolphin, 14- Killed, 157.888, 66.146
Common dolphin, 03- Inability to use appendage(s), 172.078, -30.044
Unidentified toothed whale, 10- Equilibrium imbalance, 20.022, -64.927
Gray whale 105, 01 - Visible blood flow, -66.202, 66.442
Spotted dolphin, 11- Ingestion of gear, -68.643, 19.57
Bottlenose dolphin, 07- Rupture or puncture of eyeball, 170.003, 29.722
Gray whale 105, 12- Released trailing gear/gear perforating body, 83.998, 51.654
Steller (northern) sea lion, 08- Listlessness or inability to defend, 34.626, -25.171
Dwarf sperm whale 203, 14- Killed, -76.344, 76.127
Common dolphin, 07- Rupture or puncture of eyeball, 54.605, -8.624
Harbor porpoise, 07- Rupture or puncture of eyeball, 67.691, -81.289
Minke whale 116, 02- Loss of/damage to appendage/jaw, -89.207, -15.486
Unidentified baleen whale 204, 04- Asymmetry in shape of body or body position, 152.388, -42.569
Sperm `whale 121, 03- Inability to use appendage(s), 124.63, -60.7
Sperm `whale 121, 04- Asymmetry in shape of body or body position, -27.22, 52.892
Gray whale 105, 12- Released trailing gear/gear perforating body, -26.494, -70.597
Striped dolphin, 04- Asymmetry in shape of body or body position, -171.898, 35.576
Sperm `whale 121, 11- Ingestion of gear, 101.288, -19.498
Harbor porpoise, 05- Any noticeable swelling or hemorrhage (bruising), 48.657, 84.355
Dwarf sperm whale 203, 08- Listlessness or inability to defend, -173.508, -19.797
Striped dolphin, 10- Equilibrium imbalance, 103.446, 13.854
Striped dolphin, 02- Loss of/damage to appendage/jaw, -63.398, -58.204
Pacific white-sided dolphin, 09- Inability to swim or dive, 139.523, 82.057
Spinner dolphin, 06- Laceration (deep cut), 136.121, 29.105
False killer whale 127, 13- Other wound or injury, 62.709, -67.036
Beaked whale 131, 07- Rupture or puncture of eyeball, 57.296, 17.07
Spotted dolphin, 03- Inability to use appendage(s), 4.908, 56.854
Beaked whale 131, 13- Other wound or injury, -45.486, 62.228
Humpback whale 117, 08- Listlessness or inability to defend, -145.552, 84.485
Dwarf sperm whale 203, 14- Killed, -147.227, -25.655
Killer whale 129, 01 - Visible blood flow, -31.25, -59.93
Spotted dolphin, 14- Killed, 64.639, 11.342
Atlantic white-sided dolphin, 03- Inability to use appendage(s), 33.734, -38.124
Dall’s porpoise, 09- Inability to swim or dive, 118.157, 29.547
Gray whale 105, 10- Equilibrium imbalance, 143.071, 83.774
Killer whale 129, 12- Released trailing gear/gear perforating body, 137.468, 52.568
Spinner dolphin, 03- Inability to use appendage(s), 15.132, -75.746
Dwarf sperm whale 203, 04- Asymmetry in shape of body or body position, 143.967, -33.375
Sperm `whale 121, 02- Loss of/damage to appendage/jaw, -81.211, 81.476
Spotted dolphin, 04- Asymmetry in shape of body or body position, -40.405, -58.552
Minke whale 116, 02- Loss of/damage to appendage/jaw, -83.311, -39.472
Bryde’s whale 132, 14- Killed, -154.85, -41.758
Killer whale 129, 03- Inability to use appendage(s), -117.785, 28.679
Grampus (Risso’s) dolphin, 03- Inability to use appendage(s), -157.845, -51.155
Bottlenose dolphin, 02- Loss of/damage to appendage/jaw, 96.632, -33.717
Bryde’s whale 132, 08- Listlessness or inability to defend, -100.25, -86.644
Sperm `whale 121, 13- Other wound or injury, -10.683, -65.179
Bryde’s whale 132, 06- Laceration (deep cut), 94.608, 53.558
Beluga whale 124, 11- Ingestion of gear, 61.469, -34.257
Unidentified small cetacean, 02- Loss of/damage to appendage/jaw, -176.566, 42.625
Spotted dolphin, 05- Any noticeable swelling or hemorrhage (bruising), 146.608, 27.982
Pilot whale 130, 01 - Visible blood flow, 15.423, 76.953
Beluga whale 124, 01 - Visible blood flow, -54.803, -23.975
Beluga whale 124, 10- Equilibrium imbalance, 55.938, -89.756
Spotted dolphin, 04- Asymmetry in shape of body or body position, 77.095, 45.506
Bryde’s whale 132, 13- Other wound or injury, -124.313, 68.291
Sperm `whale 121, 04- Asymmetry in shape of body or body position, -33.113, 23.515
Harbor porpoise, 08- Listlessness or inability to defend, -90.048, -2.153
Northern right whale dolphin, 02- Loss of/damage to appendage/jaw, 135.896, -23.464
Spotted dolphin, 03- Inability to use appendage(s), 147.966, -13.763
Unidentified toothed whale, 05- Any noticeable swelling or hemorrhage (bruising), -141.807, 72.518
Fin whale 115, 10- Equilibrium imbalance, 162.137, 86.604
Unidentified baleen whale 204, 06- Laceration (deep cut), -144.825, 2.067
Steller (northern) sea lion, 12- Released trailing gear/gear perforating body, -122.004, -71.6
Unidentified toothed whale, 13- Other wound or injury, -115.2, 14.824
Beluga whale 124, 14- Killed, 125.43, 24.557
Steller (northern) sea lion, 13- Other wound or injury, 37.616, 53.957
Bottlenose dolphin, 03- Inability to use appendage(s), 130.441, -43.27
Bottlenose dolphin, 04- Asymmetry in shape of body or body position, 67.232, -5.897
Killer whale 129, 09- Inability to swim or dive, -100.262, 71.028
Steller (northern) sea lion, 11- Ingestion of gear, -32.67, 86.12
Minke whale 116, 13- Other wound or injury, 111.232, 10.027
Beaked whale 131, 14- Killed, -15.471, 0.877
False killer whale 127, 07- Rupture or puncture of eyeball, 37.533, -25.534
Unidentified small cetacean, 10- Equilibrium imbalance, -26.999, -14.736
Bottlenose dolphin, 11- Ingestion of gear, -84.587, 9.628
Striped dolphin, 04- Asymmetry in shape of body or body position, -18.307, -34.92
Sperm `whale 121, 07- Rupture or puncture of eyeball, -147.191, 15.945
Pilot whale 130, 10- Equilibrium imbalance, -103.055, 27.212
Common dolphin, 06- Laceration (deep cut), -31.407, 82.931
Fin whale 115, 04- Asymmetry in shape of body or body position, 30.189, -69.822
Humpback whale 117, 04- Asymmetry in shape of body or body position, -18.392, -3.785
Striped dolphin, 07- Rupture or puncture of eyeball, -106.727, -18.936
Gray whale 105, 14- Killed, 136.952, -2.676
Sperm `whale 121, 14- Killed, -31.646, -88.524
Steller (northern) sea lion, 07- Rupture or puncture of eyeball, -0.729, 77.602
Striped dolphin, 14- Killed, 21.183, -87.646
Harbor porpoise, 02- Loss of/damage to appendage/jaw, -116.107, 27.678
Bottlenose dolphin, 01 - Visible blood flow, 111.863, -78.55
Unidentified baleen whale 204, 09- Inability to swim or dive, -131.064, 2.239
Spinner dolphin, 11- Ingestion of gear, -102.897, -83.833
Atlantic white-sided dolphin, 02- Loss of/damage to appendage/jaw, -62.819, -0.053
Gray whale 105, 05- Any noticeable swelling or hemorrhage (bruising), 75.576, -63.288
Beluga whale 124, 10- Equilibrium imbalance, -128.22, 72.792
Steller (northern) sea lion, 14- Killed, 110.937, 87.699
Gray whale 105, 07- Rupture or puncture of eyeball, 38.238, -18.961
Grampus (Risso’s) dolphin, 12- Released trailing gear/gear perforating body, 30.775, -15.013
Minke whale 116, 12- Released trailing gear/gear perforating body, -148.702, -34.302
Fin whale 115, 05- Any noticeable swelling or hemorrhage (bruising), -112.299, 4.277
Spotted dolphin, 01 - Visible blood flow, 56.982, 52.327
Bottlenose dolphin, 01 - Visible blood flow, -175.655, -37.232
Beluga whale 124, 01 - Visible blood flow, 38.073, -22.284
Unidentified baleen whale 204, 01 - Visible blood flow, 32.209, 74.432
Spinner dolphin, 10- Equilibrium imbalance, 26.425, -7.291
Dwarf sperm whale 203, 03- Inability to use appendage(s), 118.216, 22.951
Grampus (Risso’s) dolphin, 06- Laceration (deep cut), -94.588, 26.666
Bottlenose dolphin, 06- Laceration (deep cut), 1.592, 73.075
Pilot whale 130, 07- Rupture or puncture of eyeball, 1.159, 31.331
Atlantic white-sided dolphin, 09- Inability to swim or dive, 80.489, 24.787
Beaked whale 131, 11- Ingestion of gear, -75.781, 39.099
Killer whale 129, 13- Other wound or injury, -26.427, 43.69
Bryde’s whale 132, 13- Other wound or injury, 124.281, -78.504
Beluga whale 124, 01 - Visible blood flow, 68.942, -43.47
Bryde’s whale 132, 07- Rupture or puncture of eyeball, -1.542, 58.259
Minke whale 116, 12- Released trailing gear/gear perforating body, 91.32, 36.137
Fin whale 115, 06- Laceration (deep cut), -40.129, 79.668
Bryde’s whale 132, 13- Other wound or injury, 80.792, 22.

...
